MN988668.1_China_Wuhan_20-01-02_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_2019-nCoV_WHU01_complete_genome,MN988669.1_China_Wuhan_20-01-02_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_2019-nCoV_WHU02_complete_genome,LC546038.1_Japan_Kanagawa_20-03-23_Severe_acute_respiratory_syndrome_coronavirus_2_SARS-CoV-2/Hu/Kng/19-865_RNA_complete_genome,MT106053.1_US_California_20-02-10_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_2019-nCoV/USA-CA8/2020_complete_genome,MT370861.1_US_NY_20-03-17_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2/human/USA/NY-PV08109/2020_complete_genome,MT066156.1_Italy_Rome_20-01-30_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2/human/ITA/INMI1/2020_complete_genome,MT528239.1_Italy_Rome_20-03-04_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2/human/ITA/INMI10/2020_complete_genome,MT126808.1_Brazil_SaoPaulo_20-02-28_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2/human/BRA/SP02/2020_complete_genome,AY283794.1_Singapore_Singapore_03-04-23_SARS_coronavirus_Sin2500_complete_genome,AY278554.2_China_HongKong_03-04-17_SARS_coronavirus_CUHK-W1_complete_genome,KF186564.1_SaudiArabia_Riyadh_13-03-01_Middle_East_respiratory_syndrome_coronavirus_isolate_Al-Hasa_4_2013_complete_genome,KF192507.1_UAE_13-06-03_Middle_East_respiratory_syndrome_coronavirus_complete_genome,MN996532.1_China_Wuhan_13-07-24_Bat_coronavirus_RaTG13_complete_genome,KF367457.1_China_Wuhan_12-09-xx_Bat_SARS-like_coronavirus_WIV1_complete_genome
MN988668.1_China_Wuhan_20-01-02_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_2019-nCoV_WHU01_complete_genome,,,,,,,,,,,,,,
MN988669.1_China_Wuhan_20-01-02_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_2019-nCoV_WHU02_complete_genome,0.0000000000,,,,,,,,,,,,,
LC546038.1_Japan_Kanagawa_20-03-23_Severe_acute_respiratory_syndrome_coronavirus_2_SARS-CoV-2/Hu/Kng/19-865_RNA_complete_genome,6.0000000000,6.0000000000,,,,,,,,,,,,
MT106053.1_US_California_20-02-10_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_2019-nCoV/USA-CA8/2020_complete_genome,1.0000000000,1.0000000000,7.0000000000,,,,,,,,,,,
MT370861.1_US_NY_20-03-17_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2/human/USA/NY-PV08109/2020_complete_genome,8.0000000000,8.0000000000,6.0000000000,9.0000000000,,,,,,,,,,
MT066156.1_Italy_Rome_20-01-30_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2/human/ITA/INMI1/2020_complete_genome,2.0000000000,2.0000000000,8.0000000000,3.0000000000,10.0000000000,,,,,,,,,
MT528239.1_Italy_Rome_20-03-04_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2/human/ITA/INMI10/2020_complete_genome,5.0000000000,5.0000000000,3.0000000000,6.0000000000,5.0000000000,7.0000000000,,,,,,,,
MT126808.1_Brazil_SaoPaulo_20-02-28_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2/human/BRA/SP02/2020_complete_genome,4.0000000000,4.0000000000,10.0000000000,5.0000000000,12.0000000000,3.0000000000,9.0000000000,,,,,,,
AY283794.1_Singapore_Singapore_03-04-23_SARS_coronavirus_Sin2500_complete_genome,5887.0000000000,5887.0000000000,5890.0000000000,5888.0000000000,5889.0000000000,5888.0000000000,5888.0000000000,5887.0000000000,,,,,,
AY278554.2_China_HongKong_03-04-17_SARS_coronavirus_CUHK-W1_complete_genome,5882.0000000000,5882.0000000000,5885.0000000000,5883.0000000000,5884.0000000000,5883.0000000000,5883.0000000000,5882.0000000000,11.0000000000,,,,,
KF186564.1_SaudiArabia_Riyadh_13-03-01_Middle_East_respiratory_syndrome_coronavirus_isolate_Al-Hasa_4_2013_complete_genome,11492.0000000000,11492.0000000000,11490.0000000000,11491.0000000000,11475.0000000000,11490.0000000000,11487.0000000000,11493.0000000000,11631.0000000000,11629.0000000000,,,,
KF192507.1_UAE_13-06-03_Middle_East_respiratory_syndrome_coronavirus_complete_genome,11510.0000000000,11510.0000000000,11508.0000000000,11509.0000000000,11482.0000000000,11508.0000000000,11504.0000000000,11511.0000000000,11638.0000000000,11636.0000000000,52.0000000000,,,
MN996532.1_China_Wuhan_13-07-24_Bat_coronavirus_RaTG13_complete_genome,1141.0000000000,1141.0000000000,1145.0000000000,1142.0000000000,1143.0000000000,1143.0000000000,1141.0000000000,1145.0000000000,5952.0000000000,5947.0000000000,11562.0000000000,11579.0000000000,,
KF367457.1_China_Wuhan_12-09-xx_Bat_SARS-like_coronavirus_WIV1_complete_genome,5918.0000000000,5918.0000000000,5918.0000000000,5919.0000000000,5914.0000000000,5919.0000000000,5915.0000000000,5918.0000000000,1277.0000000000,1274.0000000000,11635.0000000000,11648.0000000000,5957.0000000000,
